classname , cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs , nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs ,bugsBoolean
ext::framework::a::importer::Activator ,6,1,0,6,3,0,0,0,15,3,9,0,1,0,2,14,3,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::reliablefile::ReliableFile ,14,1,3,11,300,0,25,0,492,25,7,17,7,0,7,172,115,0,0,0,0,0,0
org::osgi::framework::ServiceEvent ,4,1,4,0,3,0,6,0,11,3,15,2,0,0,3,3,3,1,0,0,0,0,1
org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl ,1,2,1,0,0,0,1,0,4,1,12,0,0,1,1,1,1,0,0,0,0,0,0
substitutes::z::Fz ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
circularity::test::Activator ,2,1,0,2,1,0,0,0,6,2,9,0,0,0,2,8,2,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet ,12,2,3,9,45,0,6,0,153,10,20,6,1,0,4,34,39,0,0,0,0,0,0
org::eclipse::osgi::internal::module::BundleConstraint ,3,2,2,1,1,0,0,2,8,2,27,0,0,0,0,3,3,0,0,0,0,0,0
org::eclipse::osgi::internal::resolver::SystemState ,2,2,1,1,10,0,0,2,13,5,97,0,0,0,5,9,4,1,0,0,0,0,1
org::eclipse::osgi::internal::module::VersionSupplier ,10,1,8,2,36,3,2,0,21,9,7,1,0,0,5,12,7,0,0,0,0,0,0
org::osgi::framework::ServicePermission ,7,1,1,7,45,0,9,0,77,10,33,6,3,0,5,29,22,1,0,0,0,0,1
org::eclipse::osgi::framework::internal::core::FrameworkProperties ,22,1,18,4,6,0,2,0,24,4,7,2,0,0,4,17,8,0,0,0,0,0,0
nativetest::d::Activator ,4,1,0,4,1,0,0,0,8,2,9,0,0,0,2,8,2,0,0,0,0,0,0
substitutes::y::Ay ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::ConsoleMsg ,0,2,0,0,0,0,138,3,0,0,12,1,0,137,0,0,0,0,0,0,0,0,0
substitutes::x::Kx ,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
org::eclipse::equinox::launcher::Main ,40,1,3,37,2016,1,111,0,1805,64,7,82,47,2,3,836,410,3,0,1,0,0,1
nativetest::b2::Activator ,4,1,0,4,1,0,0,0,9,2,9,0,0,0,2,8,2,0,0,0,0,0,0
org::eclipse::osgi::internal::baseadaptor::DefaultClassLoader ,12,2,1,11,190,0,6,0,120,20,42,2,0,0,17,54,38,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::StartLevelEvent ,1,1,1,0,6,0,6,0,15,4,15,4,0,0,4,4,4,0,0,0,0,0,0
org::eclipse::equinox::internal::launcher::Constants ,0,1,0,0,0,0,25,0,0,0,7,0,0,0,0,0,0,1,0,1,0,0,1
org::eclipse::osgi::tests::appadmin::SimpleApp ,2,1,0,2,1,0,2,0,30,2,7,2,0,0,2,10,5,0,0,0,0,0,0
org::eclipse::core::runtime::internal::stats::StatsManager ,17,1,3,16,210,0,19,8,149,21,14,11,3,7,18,108,38,0,0,0,0,0,0
org::eclipse::osgi::baseadaptor::bundlefile::DirZipBundleEntry ,3,2,1,3,21,0,2,1,32,7,15,1,0,1,7,14,9,0,0,0,0,0,0
org::eclipse::osgi::framework::internal::core::BundlePermissionCollection ,2,1,2,0,0,2,1,0,0,1,19,1,0,0,0,1,0,0,0,0,0,0,0
org::eclipse::osgi::util::TextProcessor ,5,1,2,3,15,0,10,0,114,6,7,10,3,0,3,36,34,1,0,0,0,0,1
org::eclipse::osgi::framework::internal::core::DependentPolicy ,5,1,1,4,15,1,3,0,83,6,10,0,2,3,4,35,24,1,0,0,0,0,1
org::eclipse::osgi::internal::resolver::GenericSpecificationImpl ,12,3,4,8,91,0,4,2,65,14,47,4,0,0,9,35,31,2,0,0,0,0,1
org::eclipse::osgi::tests::services::resolver::SimplePlatformAdmin ,2,2,0,2,0,0,0,7,4,1,38,0,0,0,1,3,1,0,0,0,0,0,0
org::eclipse::core::runtime::internal::adaptor::Locker_JavaNio ,6,1,1,5,6,0,3,0,73,4,10,3,0,0,4,20,10,0,0,0,0,0,0
thread::locktest::Class1 ,1,1,1,0,0,0,0,0,0,1,7,0,0,0,1,1,0,0,0,0,0,0,0
