c45,%correct,,
Dataset,ori,cfs,cns
CM1,88.05,89.3,89.82
CM1-R200,96.26,94.81,95.53
CM1-SpreadSubsample,58.29,58.26,59.72
JM1,79.73,80.83,79.72
JM1-R200,92.2,91.89,92.19
JM1-SpreadSubsample,66.66,66.54,66.65
KC1,84.04,84.54,84.22
KC1-R200,94.22,93.52,94.25
KC1-SpreadSubsample,68.01,69.31,67.27
KC2,81.19,83.64,82.18
KC2-R200,91.92,91.8,91.67
KC2-SpreadSubsample,76.25,77.21,76.82
PC1,93.63,93.17,93.1
PC1-R200,98.05,96.65,97.78
PC1-SpreadSubsample,79.54,80.46,80.55
'[v/ /*]','','',''


c45,f-measure,,
Dataset,ori,cfs,cns
CM1,0.94,0.94,0.95
CM1-R200,0.96,0.94,0.95
CM1-SpreadSubsample,0.56,0.52,0.53
JM1,0.88,0.89,0.88
JM1-R200,0.92,0.92,0.92
JM1-SpreadSubsample,0.65,0.66,0.65
KC1,0.91,0.91,0.91
KC1-R200,0.94,0.93,0.94
KC1-SpreadSubsample,0.67,0.66,0.67
KC2,0.88,0.9,0.89
KC2-R200,0.92,0.91,0.91
KC2-SpreadSubsample,0.76,0.76,0.76
PC1,0.97,0.96,0.96
PC1-R200,0.98,0.96,0.98
PC1-SpreadSubsample,0.79,0.79,0.79
'[v/ /*]','','',''

c45,auc,,
Dataset,ori,cfs,cns
CM1,0.56,0.53,0.51
CM1-R200,0.97,0.96,0.96
CM1-SpreadSubsample,0.58,0.59,0.6
JM1,0.67,0.66,0.67
JM1-R200,0.95,0.95,0.95
JM1-SpreadSubsample,0.67,0.68,0.67
KC1,0.7,0.7,0.7
KC1-R200,0.96,0.96,0.96
KC1-SpreadSubsample,0.69,0.71,0.69
KC2,0.69,0.75,0.71
KC2-R200,0.94,0.93,0.94
KC2-SpreadSubsample,0.74,0.76,0.76
PC1,0.64,0.68,0.66
PC1-R200,0.99,0.98,0.98
PC1-SpreadSubsample,0.79,0.81,0.81
'[v/ /*]','','',''


c45,true neg rate,,
Dataset,ori,cfs,cns
CM1,0.06,0.01,0
CM1-R200,1,1,1
